Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
200.4,197.42,187.71,201.68,198.85,189.48,196.66,192.77,182.85,34908610.0,41208710.0,57430620.0,201.9
319.25,317.75,320.75,321.15,322.35,323.44,316.47,317.21,318.93,38399530.0,20254650.0,21910700.0,316.77
174.67,173.87,170.32,175.49,174.44,173.07,173.94,172.02,169.5,20755140.0,24755470.0,23985960.0,175.94
163.09,160.29,157.07,163.4,161.0,157.89,159.07,155.03,150.24,51467440.0,54145930.0,70583530.0,154.83
285.08,284.73,289.96,285.83,289.67,294.53,278.2,283.89,288.35,28001190.0,34320200.0,45765970.0,281.8
191.64,191.09,193.25,191.68,194.46,196.5,188.38,191.05,193.15,27308200.0,22727370.0,23243160.0,189.83
304.3,315.31,323.52,313.49,319.64,324.76,302.22,313.63,318.95,43496400.0,34154130.0,29706720.0,320.93
115.8,115.85,115.92,116.33,116.51,116.86,114.76,115.75,115.81,28769220.0,21081620.0,22115100.0,116.65
287.38,284.69,277.95,288.2,286.95,281.68,282.35,276.86,276.85,39281290.0,53812480.0,32503750.0,282.4
173.68,167.25,167.81,175.15,170.02,171.75,166.92,165.19,166.9,39824200.0,41464880.0,38116290.0,168.07
208.5,210.16,206.43,209.32,210.45,206.98,206.66,207.2,204.22,21007650.0,21162560.0,20059570.0,204.1
311.64,316.7,311.85,317.07,317.57,315.5,311.15,312.17,309.55,30521720.0,40653460.0,30480880.0,310.6
177.25,174.51,172.0,177.3,174.95,172.0,173.2,170.53,170.06,51368540.0,41438280.0,39075250.0,177.3
94.19,95.02,96.67,94.5,96.85,98.21,93.01,94.61,96.15,40323020.0,48032600.0,44811800.0,93.79
167.81,167.88,167.64,171.75,168.94,168.75,166.9,164.47,164.88,38116290.0,37425640.0,30237640.0,167.25
228.08,236.36,250.75,228.5,247.69,258.25,212.61,234.3,244.3,84188210.0,71882770.0,75900510.0,247.18
193.9,188.39,190.5,194.48,191.97,194.97,185.93,186.9,189.46,60547340.0,46271660.0,36191330.0,191.63
143.92,144.09,145.1,144.16,144.3,147.2,143.31,143.27,144.96,14198660.0,20783460.0,33498270.0,144.47
98.67,99.68,99.44,99.74,100.73,100.47,98.11,98.64,99.25,38258300.0,56293490.0,36299460.0,97.22
165.67,162.62,164.12,166.33,165.42,165.73,161.22,162.41,163.37,33674960.0,28331540.0,27850370.0,166.84
221.16,218.93,222.3,221.83,222.99,222.64,217.27,216.76,219.34,30280450.0,28802550.0,22692880.0,220.42
185.26,185.42,189.5,186.41,188.43,190.68,184.28,185.2,189.3,16543880.0,17426160.0,19636390.0,187.79
106.05,104.81,105.58,106.07,105.84,106.0,104.0,104.77,105.28,33770220.0,30148360.0,26781730.0,104.41
109.51,110.23,109.95,110.73,110.98,110.42,109.42,109.2,108.12,26560420.0,26178840.0,31735810.0,110.42
108.65,109.72,108.78,110.42,109.9,110.0,108.6,108.88,108.2,45547590.0,25763840.0,25820460.0,104.89
174.51,172.0,170.16,174.95,172.0,170.16,170.53,170.06,167.07,41438280.0,39075250.0,50565420.0,177.25
186.35,187.25,186.12,187.2,188.35,186.15,185.73,184.94,184.7,20490090.0,25649240.0,27185130.0,185.14
164.12,164.0,162.13,165.73,164.33,167.26,163.37,160.63,161.84,27850370.0,35617230.0,41976500.0,162.62
190.02,195.34,191.51,196.33,197.69,191.98,189.81,190.78,186.6,50943120.0,42287640.0,43751810.0,186.23
95.42,95.0,95.86,96.04,96.84,97.33,94.28,94.08,95.19,37190500.0,45870130.0,46418230.0,96.47
98.97,100.55,100.32,99.06,100.69,101.19,97.34,98.84,97.3,49687870.0,49046150.0,62285770.0,98.55
193.25,194.79,196.45,196.5,196.37,197.1,193.15,193.14,195.93,23243160.0,19090050.0,18473070.0,191.09
156.91,157.23,159.29,157.55,157.83,163.6,155.27,156.78,158.7,21175670.0,16916650.0,44387770.0,156.29
107.71,106.57,106.7,107.81,107.68,110.23,104.08,106.16,106.6,50901380.0,32230590.0,58724080.0,107.12
177.32,175.24,175.04,177.47,176.8,175.09,173.66,174.94,171.26,32931110.0,19620520.0,36387880.0,178.65
115.39,113.87,113.65,115.86,115.21,114.23,114.1,113.45,113.2,31396130.0,36792100.0,26378910.0,114.31
108.78,110.42,109.51,110.0,112.19,110.73,108.2,110.27,109.42,25820460.0,37322930.0,26560420.0,109.72
118.18,117.25,116.86,118.21,117.76,117.38,117.45,113.8,116.33,24308210.0,19977160.0,24100150.0,117.33
172.36,172.05,172.83,174.82,174.26,174.12,171.77,171.42,171.01,40113790.0,33690660.0,37378070.0,169.79
262.74,268.7,268.31,267.37,270.07,273.7,261.23,264.7,265.83,42223820.0,40529120.0,32755730.0,270.8
220.42,221.16,218.93,222.88,221.83,222.99,216.84,217.27,216.76,39494770.0,30280450.0,28802550.0,214.52
129.13,130.54,131.35,130.5,132.09,132.22,128.9,130.45,131.22,26784530.0,38158410.0,22941650.0,128.31
297.26,300.95,286.53,304.18,302.53,297.88,289.23,286.13,286.5,55548830.0,57668360.0,49678430.0,318.62
111.64,113.0,113.69,113.39,113.18,114.64,111.55,112.34,113.43,29800240.0,24587490.0,29608390.0,114.42
207.36,207.7,210.16,209.1,210.95,210.56,206.67,207.7,208.26,24592460.0,25864510.0,20679270.0,207.28
170.1,171.39,169.71,171.0,172.48,171.26,169.7,169.92,169.38,22224400.0,22389660.0,21785180.0,171.05
220.0,220.54,220.9,220.94,220.96,224.58,218.83,217.28,220.79,19088310.0,25361290.0,26318580.0,218.55
180.2,178.92,176.42,182.14,180.59,179.35,178.62,177.91,176.0,23714690.0,27948160.0,28481170.0,179.8
117.25,116.86,116.81,117.76,117.38,116.91,113.8,116.33,116.28,19977160.0,24100150.0,22527690.0,118.18
207.03,208.0,209.32,208.74,209.25,209.5,205.48,207.07,206.76,33408050.0,25396100.0,25525650.0,200.58
166.11,166.96,167.41,169.0,168.98,171.66,164.56,165.93,167.28,40613260.0,32644590.0,31384720.0,163.25
113.76,110.27,111.79,114.02,113.28,114.21,109.77,109.9,111.76,84757780.0,62800770.0,49793750.0,111.65
169.79,172.36,172.05,173.09,174.82,174.26,169.0,171.77,171.42,50908540.0,40113790.0,33690660.0,163.05
110.08,110.31,109.88,110.51,111.72,111.32,109.46,109.7,108.05,32361930.0,24129630.0,59118740.0,108.53
110.15,110.23,112.49,111.88,112.34,112.78,107.36,109.13,110.04,76562170.0,61681250.0,53142590.0,112.03
191.78,189.69,191.78,191.8,192.55,192.43,189.93,189.69,190.17,16365720.0,20182050.0,20670830.0,189.75
113.16,112.46,112.71,113.8,113.37,113.05,111.8,111.8,112.28,35850010.0,36340670.0,21634520.0,113.69
106.96,108.58,107.01,109.43,108.7,107.03,106.86,107.18,104.82,30912260.0,25184090.0,40885480.0,107.59
234.9,236.39,233.37,238.13,237.65,235.24,234.67,234.88,233.2,24413480.0,23040480.0,19286690.0,232.95
110.63,111.74,110.19,111.74,111.77,110.19,109.77,109.41,108.21,48702200.0,46717770.0,61747260.0,109.88
191.39,192.42,191.55,192.61,192.88,191.57,191.15,190.44,190.22,16859020.0,21480120.0,21584720.0,191.35
312.6,324.45,320.54,318.4,327.85,324.09,312.19,321.38,318.75,40558490.0,54149930.0,31685810.0,310.06
150.27,153.08,154.2,153.39,155.88,157.66,150.05,153.0,153.26,28449940.0,30483120.0,29616190.0,150.85
221.85,220.95,218.01,225.37,221.85,224.3,220.71,216.47,216.56,37418910.0,39194720.0,35644510.0,226.23
207.67,208.89,207.48,209.15,209.24,209.73,207.17,206.73,207.14,14991570.0,13909560.0,17618870.0,208.46
116.25,115.66,112.21,116.54,116.49,114.3,115.44,113.72,111.87,37080720.0,63712340.0,73991000.0,115.93
149.99,150.58,151.8,150.44,152.44,153.84,148.88,149.9,151.8,25111310.0,21466370.0,18798250.0,151.5
173.91,174.66,175.11,175.25,176.24,176.1,173.6,174.33,173.14,24332120.0,24358920.0,29422610.0,172.37
224.8,220.0,217.73,226.42,220.79,220.13,222.86,217.02,217.56,32226670.0,39763300.0,21158140.0,218.07
182.59,180.32,178.5,183.5,180.52,180.24,179.24,177.81,178.07,31464170.0,29334630.0,22676520.0,180.29
116.74,116.8,116.35,117.5,117.4,116.51,116.68,116.78,115.64,21337310.0,23724430.0,26043820.0,115.8
198.8,198.54,198.43,200.85,200.16,199.26,198.15,198.17,195.29,47800590.0,18220420.0,21070330.0,200.37
92.72,90.0,92.39,92.78,91.67,94.39,89.47,90.0,91.65,76183460.0,44223040.0,61192340.0,93.48
94.29,95.92,93.79,95.94,96.35,94.72,93.93,94.1,92.59,44282560.0,42288790.0,49979700.0,93.13
